source	text	source_code	weight	missing_chars
cn_dicts/41448.dict.yaml	𦺽	an	0	𦺽
cn_dicts/41448.dict.yaml	𧖮	an	0	𧖮
cn_dicts/41448.dict.yaml	𧩸	an	0	𧩸
cn_dicts/41448.dict.yaml	𧫥	an	0	𧫥
cn_dicts/41448.dict.yaml	𧫧	an	0	𧫧
cn_dicts/41448.dict.yaml	𧮍	an	0	𧮍
cn_dicts/41448.dict.yaml	𨲊	an	0	𨲊
cn_dicts/41448.dict.yaml	𩅝	an	0	𩅝
cn_dicts/41448.dict.yaml	𩈴	an	0	𩈴
cn_dicts/41448.dict.yaml	𩓤	an	0	𩓤
cn_dicts/41448.dict.yaml	𩭢	an	0	𩭢
cn_dicts/41448.dict.yaml	𩹎	an	0	𩹎
cn_dicts/41448.dict.yaml	𪁟	an	0	𪁟
cn_dicts/41448.dict.yaml	𪒠	an	0	𪒠
cn_dicts/41448.dict.yaml	𪘒	an	0	𪘒
cn_dicts/41448.dict.yaml	㦹	ang	0	㦹
cn_dicts/41448.dict.yaml	㭿	ang	0	㭿
cn_dicts/41448.dict.yaml	㼜	ang	0	㼜
cn_dicts/41448.dict.yaml	䀚	ang	0	䀚
cn_dicts/41448.dict.yaml	䍩	ang	0	䍩
cn_dicts/41448.dict.yaml	䒢	ang	0	䒢
cn_dicts/41448.dict.yaml	䩕	ang	0	䩕
cn_dicts/41448.dict.yaml	䬓	ang	0	䬓
cn_dicts/41448.dict.yaml	䭹	ang	0	䭹
cn_dicts/41448.dict.yaml	䭺	ang	0	䭺
cn_dicts/41448.dict.yaml	𠵫	ang	0	𠵫
cn_dicts/41448.dict.yaml	𠹃	ang	0	𠹃
cn_dicts/41448.dict.yaml	𡕉	ang	0	𡕉
cn_dicts/41448.dict.yaml	𡵙	ang	0	𡵙
cn_dicts/41448.dict.yaml	𢓋	ang	0	𢓋
cn_dicts/41448.dict.yaml	𣉗	ang	0	𣉗
cn_dicts/41448.dict.yaml	𣖮	ang	0	𣖮
cn_dicts/41448.dict.yaml	𤭒	ang	0	𤭒
cn_dicts/41448.dict.yaml	𦫫	ang	0	𦫫
cn_dicts/41448.dict.yaml	𨋕	ang	0	𨋕
cn_dicts/41448.dict.yaml	𩉰	ang	0	𩉰
cn_dicts/41448.dict.yaml	𩑝	ang	0	𩑝
cn_dicts/41448.dict.yaml	𩔘	ang	0	𩔘
cn_dicts/41448.dict.yaml	𩜟	ang	0	𩜟
cn_dicts/41448.dict.yaml	㑃	ao	0	㑃
cn_dicts/41448.dict.yaml	㕭	ao	0	㕭
cn_dicts/41448.dict.yaml	㘬	ao	0	㘬
cn_dicts/41448.dict.yaml	㘭	ao	0	㘭
cn_dicts/41448.dict.yaml	㜜	ao	0	㜜
cn_dicts/41448.dict.yaml	㜩	ao	0	㜩
cn_dicts/41448.dict.yaml	㟼	ao	0	㟼
cn_dicts/41448.dict.yaml	㠂	ao	0	㠂
cn_dicts/41448.dict.yaml	㠗	ao	0	㠗
cn_dicts/41448.dict.yaml	㤇	ao	0	㤇
cn_dicts/41448.dict.yaml	㥿	ao	0	㥿
cn_dicts/41448.dict.yaml	㿰	ao	0	㿰
cn_dicts/41448.dict.yaml	䐿	ao	0	䐿
cn_dicts/41448.dict.yaml	䚫	ao	0	䚫
cn_dicts/41448.dict.yaml	䜒	ao	0	䜒
cn_dicts/41448.dict.yaml	䞝	ao	0	䞝
cn_dicts/41448.dict.yaml	䥝	ao	0	䥝
